order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name_english,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,order_year_month,revenue
1d5971c6ac68e27ee67fcb4ef122897f,8a795f8302a07067181e2b08c8e9280c,delivered,2018-01-04 01:55:07,2018-01-04 04:55:32,2018-01-04 21:52:10,2018-01-21 12:03:40,2018-02-07,1,76acdd98759c649f3b6ecd0dc8576c8e,cd68562d3f44870c08922d380acae552,2018-01-10 02:31:32,145.0,36.33,sports_leisure,1c9e0fa8ece71789e5d61441ceecf2b9,58055,joao pessoa,PB,58055.0,-7.169415650071921,-34.83790991980975,2018-01,181.32999999999998
2c8f8b620f20e83829e70d2e0f32e49a,35ac5b14022c7d3d8e5388bb52224abe,delivered,2017-12-17 13:36:40,2017-12-17 13:54:20,2017-12-26 19:45:38,2018-01-10 13:41:47,2018-01-12,1,dc9471db933efad7bf0ce685380578bd,25c5c91f63607446a97b143d2d535d31,2017-12-21 13:54:20,277.0,19.19,computers_accessories,95038bbd298bdd3abc1b027d2805ccd8,72240,brasilia,DF,72240.0,-15.821608272815112,-48.12355453784427,2017-12,296.19
e42b66326781591510efdca88022604d,03a2a04722a38803d8c29c7339998d54,delivered,2018-07-26 22:20:02,2018-07-26 22:30:18,2018-07-27 13:50:00,2018-07-28 11:20:22,2018-08-07,1,30674190b5af4d3b447868dff7f6ac61,5c030029b5916fed0986310385ec9009,2018-08-01 22:30:18,260.0,19.14,housewares,c2bffaf8747e77b4c0b4e38421e3bf29,88117,sao jose,SC,88117.0,-27.586488478573195,-48.610576008298985,2018-07,279.14
4eb3e11c28260d8a8524f0513b0ce771,959f76d6d4c26184cb83d2d2e85b9d53,delivered,2018-03-31 14:24:53,2018-03-31 14:47:21,2018-04-05 17:17:38,2018-04-07 00:40:49,2018-04-17,1,e1da6ab77f4859eb17950e5df1c0f815,dd7ddc04e1b6c2c614352b383efe2d36,2018-04-10 14:47:21,49.9,12.43,pet_shop,470512c1c53efe65adedacad47124a0e,2013,sao paulo,SP,2013.0,-23.5030857485429,-46.63382294171621,2018-03,62.33
04cbdd6817839ed5c7ac28f811ed8c0f,12ed696c4178efaa9f91a47a654e6093,delivered,2017-07-15 16:54:02,2017-07-18 06:05:32,2017-07-18 16:32:46,2017-07-20 14:05:09,2017-08-04,1,026d610705e01d905582241e68aefefe,3d871de0142ce09b7081e2b9d1733cb1,2017-07-24 06:05:32,45.0,11.85,stationery,43597919520d44317d2f7f558df6f1fc,8676,suzano,SP,8676.0,-23.552826070523995,-46.3066973449648,2017-07,56.85
ae2f85b0fa227d6ecf5ebe62dba5c91d,6fe8635d5b006d0000c01d85a66ddf0c,delivered,2018-03-13 19:58:12,2018-03-13 20:10:53,2018-03-15 16:22:23,2018-03-21 15:56:43,2018-03-23,1,821f6f2b173248cc704e369c94228008,6ec1a01e866584bb679eb9b098345919,2018-03-19 20:10:53,299.99,62.01,health_beauty,d4974a275160db5623addb418688e443,3685,sao paulo,SP,3685.0,-23.52377256527157,-46.47524063467857,2018-03,362.0
3c8bde97f0fa2a830b7ff6054369eef7,f85e2294dc95234e99ced45c8a540649,delivered,2018-01-16 11:16:50,2018-01-16 11:31:53,2018-01-16 21:58:41,2018-02-02 00:03:17,2018-02-06,1,9c5eb07abad39517f560d32066739b5d,9d4db00d65d7760644ac0c14edb5fd86,2018-01-22 11:30:42,86.9,15.36,baby,0cb3c54b7090ff5a9df4a95ed5ff57e2,30320,belo horizonte,MG,30320.0,-19.95954610294896,-43.93549305303234,2018-01,102.26
7d695cbb791e6b56ac8a913e1fa9fbe8,b8febf0469319c4cbb2379e1a0e6fb6c,delivered,2017-08-02 10:22:16,2017-08-02 10:35:23,2017-08-02 23:57:39,2017-08-07 22:26:58,2017-08-25,1,37bc5c7b7dca15cfcbe282fb0dd0bab3,7722b1df1b0e383e000397b2c11e3e19,2017-08-09 10:35:23,13.99,15.1,housewares,7716312abf4518205d576b998825e95a,89206,joinville,SC,89206.0,-26.30158488121068,-48.8116395051359,2017-08,29.09
ebf6d4734dafb7b6c2c67b98db1b90c4,ad5303ccc4b7f49cbe9767f6a88515d7,delivered,2018-03-16 10:58:09,2018-03-16 11:10:36,2018-03-19 21:22:07,2018-04-14 12:03:14,2018-04-09,1,338bf1554cc911be551275c6c6c396c7,3be634553519fb6536a03e1358e9fdc7,2018-03-22 11:10:36,89.9,18.56,housewares,16c76c75cc2f6312bc921309ee30ade8,40720,salvador,BA,40720.0,-12.867520683045733,-38.47377970858095,2018-03,108.46000000000001
deea4294a344e9365bcb722dca9047d1,f7cadf307a192b65c847a1fe65ca288e,delivered,2018-05-12 10:49:46,2018-05-12 11:13:59,2018-05-15 12:39:00,2018-05-16 19:41:32,2018-05-25,1,727a46f0b58a9ef165af9f7ebcfebfa9,e9779976487b77c6d4ac45f75ec7afe9,2018-05-18 11:13:59,19.49,7.87,sports_leisure,d3e878ca3ccc4e8aff37ac6f807df027,3572,sao paulo,SP,3572.0,-23.574334452680457,-46.50181676172888,2018-05,27.36
